"time","Litter","CWD","Organic","DOM","MIC","P","L","A","M","B","Detritivore","Predator","Scenario","Run","Run2","PARS","YSTABLE"
"2","116.198303281695","314.193619465503","601.124674611574","10.3439912974903","0.140972601498352","79.452903944071","5.19722169795068","258.592428705557","771.602060224537","9.08968713698073","0.147973103672424","0","NoPred","23909013","836106",NA,NA
"3","115.027250383053","314.533782915347","602.549863662494","9.79878944606283","0.14062664702825","79.8038862361853","5.55280839292031","258.574043322593","771.659502677982","8.98124410884979","0.148250472452367","0","NoPred","23909013","836106",NA,NA
"4","113.860567342788","314.875001091332","603.965647547819","9.29731417366803","0.140270540508111","80.1524515265057","5.82670429021819","258.559438552716","771.713675535433","8.89061619080846","0.148528268648668","0","NoPred","23909013","836106",NA,NA
"5","112.696577325149","315.217209725825","605.371910437456","8.83557614719739","0.139905046498983","80.4985093753453","6.03409824216422","258.548485768456","771.765205784335","8.81317847980715","0.148806488675003","0","NoPred","23909013","836106",NA,NA
"6","111.53785767257","315.560344286442","606.768551669726","8.40998848849438","0.139530911884894","80.842010973289","6.18724185732467","258.541064132132","771.814540625505","8.74540157575631","0.149085129676513","0","NoPred","23909013","836106",NA,NA
"7","110.383318928042","315.904340004411","608.155469512194","8.01732395849756","0.139148863201311","81.182937645213","6.29609928379736","258.537060478641","771.861992367398","8.684587209751","0.149364188712723","0","NoPred","23909013","836106",NA,NA
"8","109.234510595354","316.249131905094","609.532580196112","7.65467724191269","0.138759604448276","81.5212921362276","6.36882575670335","258.536369188716","771.907771856663","8.62867516687317","0.149643663723062","0","NoPred","23909013","836106",NA,NA
"9","108.090716621668","316.594654839819","610.899769868967","7.31943053231615","0.138363815388741","81.857092069399","6.41212132491327","258.538892054681","771.952013309836","8.57610201214511","0.149923551083665","0","NoPred","23909013","836106",NA,NA
"10","106.953975408732","316.940843519967","612.25696805396","7.00922471911047","0.13796215025841","82.1903648456797","6.4315079959937","258.54453813206","771.994793654424","8.52569186563779","0.150203849329454","0","NoPred","23909013","836106",NA,NA
"11","105.823535334813","317.287632552076","613.604091999693","6.72193163302303","0.137555236883976","82.5211437962104","6.43154270208248","258.553223579587","772.036147174566","8.47657378610982","0.15048455634046","0","NoPred","23909013","836106",NA,NA
"12","104.701223639544","317.634956474522","614.941073919608","6.45563070854102","0.137143676142166","82.8494651913457","6.4159886214491","258.56487148316","772.076077007986","8.42811649565997","0.150765670719349","0","NoPred","23909013","836106",NA,NA
"13","103.584672437087","317.982749794414","616.267829887391","6.20858747567296","0.136728041723473","83.1753659752222","6.38795103026859","258.579411667937","772.114563963637","8.37987765011853","0.151047190203206","0","NoPred","23909013","836106",NA,NA
"14","102.475703435303","318.33094697066","617.584281819001","5.97923361775555","0.136308880563212","83.4988820000916","6.34999361289595","258.596780443577","772.151573612057","8.3315618733188","0.151329112785268","0","NoPred","23909013","836106",NA,NA
"15","101.374794536751","318.679482788623","618.890366360085","5.76615733144934","0.135886710556728","83.8200465270438","6.30422037968334","258.616920676038","772.187061902997","8.28298887001231","0.151611437143407","0","NoPred","23909013","836106",NA,NA
"16","100.281528276657","319.028291613801","620.186013313557","5.56807011674996","0.135462027272105","84.1388896912174","6.25237864483452","258.639780796","772.220978798652","8.23406480914888","0.151894161573982","0","NoPred","23909013","836106",NA,NA
"17","99.1962586360063","319.377308325539","621.471158892577","5.38381462691332","0.135035297188413","84.4554372398942","6.19588936290886","258.665315417005","772.253272069549","8.18476453917696","0.152177284631254","0","NoPred","23909013","836106",NA,NA
"18","98.1190905813625","319.726467852593","622.745736404592","5.2123406544276","0.134606962563959","84.7697102726941","6.13591905507796","258.693484579158","772.283889472864","8.13511248437794","0.152460804665866","0","NoPred","23909013","836106",NA,NA
"19","97.0506387745145","320.075705318582","624.009686396237","5.05269643269605","0.134177441494594","85.0817248444773","6.0734214756979","258.724253524344","772.312780657159","8.08516917032135","0.152744720331526","0","NoPred","23909013","836106",NA,NA
"20","95.9911837227634","320.424956076202","625.262957859631","4.90401926085599","0.133747128757397","85.3914917276019","6.00917368048603","258.757592396945","772.339898499553","8.03502059833325","0.153029030649892","0","NoPred","23909013","836106",NA,NA
